name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
A. Nishimura,,Japanese American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nishimikan.tumblr.com/,,https://twitter.com/nishimikan,
A.E. Green,Male,"mixed, black",,,,,1990,,Writer, Artist, Editor,,,,,,,,Purity: A Post-Yaoi Anthology, Ashe & Boy (18+),,,,,,,,,,,,,indie, romance,,,,,,,http://purityanthology.tumblr.com/,http://asheandboy.tumblr.com/,http://twitter.com/Glittertooth,http://41.media.tumblr.com/17d0705e47fae370e401b75d58af7d11/tumblr_ni6rqqWYWc1u7da6so1_1280.jpg
Aaron McGruder,Male,African American,,,,,1974,,,,,,,,,,,,Boondocks,,,,,,,,,,,,,,Strips,,,,,,,,http://en.wikipedia.org/wiki/Aaron_McGruder,,https://twitter.com/aaronmcgruder23,
Aaron Mew,Male,Asian American,,,,,,,Writer, Artist,,,,,,,,,Don't Be So Stupid, Turn Off Your Heart Light, Project:Masterbation, True Porn 2, I Saw You,,,,,,,,,,Indie,,,,,,,,http://www.aaronmew.info/,,https://twitter.com/amewcomics,http://www.aaronmew.info/images/title.png
Aatmaja Pandya,Female,Indian American,New York, NY,,United States,1992,,Cartoonist,,,,,,,,,,Travelogue, Baker's Dozen, The Bell Blues,,,,,,,,,,,,Indie, Webcomic, Fantasy, Slice-of-Life,,,,,http://aatmajapandya.com,http://traveloguecomic.com,http://twitter.com/aymayjay ,http://payload316.cargocollective.com/1/14/467040/8621329/prt_200x200_1411690980.jpg
Abby Pollak,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://atomicmuffin37.deviantart.com/gallery/,,,
Abby Soto,Female,Hispanic,,,,,,,Artist, Creator, Art Director,,,,,,,,"Coming Full Circe, Princess Lucinda, Witch Girls Adventures",,,,,,,,,,,,,,Fantasy,,,,,,,,http://magicalmavens.com/,http://ellocabruja.deviantart.com/,,
Abdul Lateef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Quezada,Male,Latin American,,,,,,,,,,,,,,,,,The Best of Impossible Worlds,,,,,,,,,,,,,,,,,,,,,,,,,
Abhishek Singh,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://abhiart.blogspot.com/,,,
Adam Gause,Male,African American,,,,,1988,,Artist, Actor, Director, Producer, Creator,,,,,,"Titan King Media's In the Name of the King, 2011",,,,,,,,,,,,,,Action, Comedy, Fantasy,,,,,,http://www.titankingmedia.com,https://www.facebook.com/TkmInK,https://twitter.com/titankingmedia,
Adrian Age Scott,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://agescott.com/?page_id=2,,,
Adrian Alphona,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
