name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
A. Stiffler,Agender,,Columbus, OH,,United States,,,Artist,,,,,,,ChaosLife, FindChaos, Lesbians 101,,,,,,,,,,Queer, Humor, Horror, Educational,,,,,http://www.patreon.com/findchaos,http://chaoslife.findchaos.com,http://twitter.com/findchaos,https://pbs.twimg.com/profile_images/528619836163637248/-dgY4fJ9.png,,,,,,,,,,,,,,,,,,,,,,,,
A.E. Green,Male,"mixed, black",,,,,1990,,Writer, Artist, Editor,,,,,Purity: A Post-Yaoi Anthology, Ashe & Boy (18+),,,,,,,,,,,indie, romance,,,,,,,http://purityanthology.tumblr.com/,http://asheandboy.tumblr.com/,http://twitter.com/Glittertooth,http://41.media.tumblr.com/17d0705e47fae370e401b75d58af7d11/tumblr_ni6rqqWYWc1u7da6so1_1280.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Aatmaja Pandya,Female,Indian American,New York, NY,,United States,1992,,Cartoonist,,,,,,,Travelogue, Baker's Dozen, The Bell Blues,,,,,,,,,,Indie, Webcomic, Fantasy, Slice-of-Life,,,,,http://aatmajapandya.com,http://traveloguecomic.com,http://twitter.com/aymayjay ,http://payload316.cargocollective.com/1/14/467040/8621329/prt_200x200_1411690980.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Adam Graphite,Male,American,Philadelphia, PA,,United States,1970,,Artist,,,,,,,Greek Love,,,,,,,,,,,,Mainstream, Adult, Indie,,,,,,http://Adamgraphite.com,,http://twitter.com/adamgraphite,http://41.media.tumblr.com/1382f5a653817e377f61c0c5e2e514a0/tumblr_nrsd79DUIe1qcc3cxo1_1280.png,,,,,,,,,,,,,,,,,,,,,,,,
Adam Pruett,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adee Roberson,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriana Ferguson,Female,Costa Rican,,,,,1985,,Writer, Penciler, Cartoonist, Creator,,,,Minor Acts of Heroism, S.T.O.P.,,,,,,,,,,,webcomic,,,,,,,,http://www.minoractsofheroism.com/,,https://twitter.com/missveryvery,http://very-very.info/maoh_resources/nilus_b.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Adrien Lee (Thephooka),Male,American,,OR,,United States,1990,,Writerm Artist, Creator,,,,,,White Noise,,,,,,,,,,,,fantasy,,,,,,,,http://www.white-noise-comic.com,http://www.thephooka.tumblr.com,http://www.twitter.com/thephooka,https://36.media.tumblr.com/f80cf27f5b8748b10cd9af4344153f31/tumblr_inline_npx71wlG5Z1qd3tso_540.png,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Czaja,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Dahm,"nonbinary, agender",Minnesotan,,,,,1992,,cartoonist,,,,,,,"Anything That Loves (contributor), many self-published comics",,,,,,,,,,,,indie, auto biographical, sci-fi,,,,,,http://www.alexdahm.com,http://www.alexdumb.tumblr.com,http://www.twitter.com/ajdahm,http://41.media.tumblr.com/727bc64d45e940be31f36ef5d19c2851/tumblr_nkz5vs8lvn1sghmrho1_1280.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Alex DeLourdes Araiza,Transman,Latin American,,,,,1989,,Writer, Artist, Cartoonist,,,,,,,,,,,,,,,,,Indie and Horror,,,,,,,,http://alex-d-araiza-art.tumblr.com/,http://alex-d-araiza-writer.tumblr.com/,https://twitter.com/alex_d_araiza,https://pbs.twimg.com/profile_images/462330616193617921/v6hPewus.jpeg,,,,,,,,,,,,,,,,,,,,,,,,
Alex Woolfson,Male,America,San Francisco, CA,,United States,1971,,Writer, Publisher, Creator,,,,,"Artifice, The Young Protectors",,,,,,,,,,,,Webcomic, Graphic Novels, Gay,,,,,,http://webcomics.yaoi911.com/,http://amwcomics.com/,https://twitter.com/alexwoolfson,http://amwcomics.com/wordpress/wp-content/uploads/2013/01/Alex-1-Square-Avatar_200x270.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Sugden,Female,Australian,,,,,1988,,Artist/Writer,,,,,,,My Sister's Voice, Crazy Cat Lady, The Disappearance of Melody Dean, Rasvaar,,,,,,,,,Graphic novel; webcomic,,,,,,,,http://www.alexissugden.com/,http://animatorlex.tumblr.com/,https://twitter.com/AlexisDraws,http://static.wixstatic.com/media/82d7c6_468696bd00a34aece6ec374b156d4598.jpg_srb_p_296_417_75_22_0.50_1.20_0.00_jpg_srb,,,,,,,,,,,,,,,,,,,,,,,,
Alice Meichi Li,Female,Asian American,,,,,1984,,Artist, Illustrator, Cover Artist,,,,,"Mega Man (Archie Comics, 2013)"," Elephantmen (Image Comics, 2011)"," Once Upon a Time Machine (Dark Horse Comics, 2012)"," Secret Identities, (The New Press, 2012)"," Reading With Pictures (2010, 2014)",,,,,,,,Pop-Surrealism,,,,,,,,http://alicemeichi.com/,http://en.wikipedia.org/wiki/Alice_Meichi_Li,https://twitter.com/AliceMeichi,http://www.alicemeichi.com/images/newestwork-b.gif,,,,,,,,,,,,,,,,,,,,,,,,
Alison Bechdel,Female,,,,,,,,Cartoonist,,,,,,,Dykes to Watch Out For, Fun Home, Are You My Mother?,,,,,,,,,,,,,,,,,,http://dykestowatchoutfor.com/,,https://twitter.com/alisonbechdel,http://www.powells.com/bookcovers/9780544002234.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Allan Neuwirth,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Verwey,Female,,,,,,,,Cartoonist,,,,,,,QU33R (contributor), Manderz Top Private Diary, All Deez Femalez Crawl,,,,,,,,,,,,,,,,,,http://www.amandamakescomics.com/,,,http://www.amandamakescomics.com/uploads/8/1/8/1/8181278/7636919_orig.jpg,,,,,,,,,,,,,,,,,,,,,,,,
